"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.44036363636E+009, -3.54601201808E+000, +0.00000000000E+000
+1.44363636364E+009, -3.52259812491E+000, +0.00000000000E+000
+1.44690909091E+009, -3.50594121492E+000, +0.00000000000E+000
+1.45018181818E+009, -3.49475404594E+000, +0.00000000000E+000
+1.45345454545E+009, -3.48584449683E+000, +0.00000000000E+000
+1.45672727273E+009, -3.48170274345E+000, +0.00000000000E+000
+1.46000000000E+009, -3.48217463910E+000, +0.00000000000E+000
+1.46327272727E+009, -3.48710600615E+000, +0.00000000000E+000
+1.46654545455E+009, -3.49477582825E+000, +0.00000000000E+000
+1.46981818182E+009, -3.50422138974E+000, +0.00000000000E+000
+1.47309090909E+009, -3.51559920656E+000, +0.00000000000E+000
+1.47636363636E+009, -3.52842826660E+000, +0.00000000000E+000
+1.47963636364E+009, -3.54250917202E+000, +0.00000000000E+000
+1.48290909091E+009, -3.55629460972E+000, +0.00000000000E+000
+1.48618181818E+009, -3.56869758130E+000, +0.00000000000E+000
+1.48945454545E+009, -3.57706059674E+000, +0.00000000000E+000
+1.49272727273E+009, -3.57823887006E+000, +0.00000000000E+000
+1.49600000000E+009, -3.57008926191E+000, +0.00000000000E+000
+1.49927272727E+009, -3.55228420878E+000, +0.00000000000E+000
+1.50254545455E+009, -3.52763248770E+000, +0.00000000000E+000
+1.50581818182E+009, -3.49802320957E+000, +0.00000000000E+000
+1.50909090909E+009, -3.46511623070E+000, +0.00000000000E+000
+1.51236363636E+009, -3.43108574549E+000, +0.00000000000E+000
+1.51563636364E+009, -3.39583595370E+000, +0.00000000000E+000
+1.51890909091E+009, -3.36164466903E+000, +0.00000000000E+000
+1.52218181818E+009, -3.32860597930E+000, +0.00000000000E+000
+1.52545454545E+009, -3.29682329742E+000, +0.00000000000E+000
+1.52872727273E+009, -3.26702622375E+000, +0.00000000000E+000
+1.53200000000E+009, -3.23908516461E+000, +0.00000000000E+000
+1.53527272727E+009, -3.21332811130E+000, +0.00000000000E+000
+1.53854545455E+009, -3.19012395186E+000, +0.00000000000E+000
+1.54181818182E+009, -3.16918415629E+000, +0.00000000000E+000
+1.54509090909E+009, -3.15196080967E+000, +0.00000000000E+000
+1.54836363636E+009, -3.14040520407E+000, +0.00000000000E+000
+1.55163636364E+009, -3.13806465627E+000, +0.00000000000E+000
+1.55490909091E+009, -3.14475361306E+000, +0.00000000000E+000
+1.55818181818E+009, -3.15816459150E+000, +0.00000000000E+000
